mp_id,name,party,state,constituency,gender,age,education,attendance_pct,debates_count,total_questions_prs,total_questions_parsed,pvt_member_bills_count,profile_url,Health and Family Welfare,Agriculture and Farmers Welfare,Railways,Finance,Education,"Environment, Forest and Climate Change",Jal Shakti,Women and Child Development,Road Transport and Highways,Housing and Urban Affairs,Home Affairs,Commerce and Industry,Labour and Employment,Civil Aviation,Rural Development,"Consumer Affairs, Food and Public Distribution",AYUSH,Communications,Petroleum and Natural Gas,Textiles,Chemicals and Fertilizers,Law and Justice,"Fisheries, Animal Husbandry and Dairying",Tourism,Electronics and Information Technology,"Micro, Small and Medium Enterprises",Social Justice and Empowerment,Culture,Defence,New and Renewable Energy,Skill Development and Entrepreneurship,External Affairs,Youth Affairs and Sports,Human Resource Development,Power,Tribal Affairs,Information and Broadcasting,Coal,Prime Minister,Food Processing Industries,Corporate Affairs,Science and Technology,Minority Affairs,"Ports, Shipping and Waterways",Heavy Industries and Public Enterprises,Earth Sciences,Panchayati Raj,Mines,Steel,Statistics and Programme Implementation,Cooperation,Planning,Shipping,Development of North Eastern Region,Ayush,Consumer Affairs,Micro,Parliamentary Affairs,Heavy Industries,Statiscs and Programme Implementation,Atomic Energy,"Personnel, Public Grievances and Pensions",Space
adoor-prakash,Adoor Prakash,INC,Kerala,Attingal,Male,68 years,Professional Graduate,82,66,388,388,0,https://prsindia.org/mptrack/17-lok-sabha/adoor-prakash,40,14,26,25,16,21,10,6,14,9,26,5,12,13,10,8,5,9,11,1,1,11,14,7,5,3,4,0,3,3,1,11,4,5,3,1,6,0,5,0,1,2,1,3,1,5,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
benny-behanan,Benny Behanan,INC,Kerala,Chalakudy,Male,71 years,Graduate,85,69,343,343,3,https://prsindia.org/mptrack/17-lok-sabha/benny-behanan,37,15,19,24,21,10,10,10,12,7,18,5,13,16,5,8,7,9,12,5,0,3,3,4,9,3,1,1,6,4,2,6,4,3,1,3,7,3,2,2,3,1,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hibi-eden,Hibi Eden,INC,Kerala,Ernakulam,Male,40 years,Graduate,89,61,318,318,9,https://prsindia.org/mptrack/17-lok-sabha/hibi-eden,29,10,28,21,13,14,3,4,9,20,11,7,8,8,11,5,0,3,10,4,2,7,14,3,8,0,5,6,3,1,0,11,5,3,3,2,7,0,1,0,2,1,1,3,2,3,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
dean-kuriakose,Dean Kuriakose,INC,Kerala,Idukki,Male,42 years,Post Graduate,90,91,289,289,12,https://prsindia.org/mptrack/17-lok-sabha/dean-kuriakose,23,14,13,10,10,11,7,8,18,5,7,15,11,6,14,4,4,5,7,0,6,6,1,9,2,3,7,0,3,1,4,8,2,7,8,3,3,1,6,5,2,1,4,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
kumbakudi-sudhakaran,Kumbakudi Sudhakaran,INC,Kerala,Kannur,Male,75 years,Post Graduate,50,19,275,275,0,https://prsindia.org/mptrack/17-lok-sabha/kumbakudi-sudhakaran,19,6,20,17,14,11,1,10,12,4,15,5,10,14,5,10,2,3,5,0,1,4,4,2,7,3,6,3,4,2,1,11,5,2,2,4,10,0,5,1,2,1,2,2,1,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
rajmohan-unnithan,Rajmohan Unnithan,INC,Kerala,Kasaragod,Male,70 years,Information Not Available,86,52,208,208,0,https://prsindia.org/mptrack/17-lok-sabha/rajmohan-unnithan,17,7,19,7,13,9,7,4,9,2,8,2,5,7,6,7,7,5,6,2,0,5,3,3,3,2,2,4,6,0,1,5,2,1,2,1,7,0,1,1,1,1,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nkpremachandran,N.K.Premachandran,RSP,Kerala,Kollam,Male,63 years,Professional Graduate,91,267,272,272,18,https://prsindia.org/mptrack/17-lok-sabha/nkpremachandran,20,15,13,26,9,5,3,9,18,3,16,4,12,11,3,12,10,3,7,1,3,2,6,2,4,2,3,1,4,0,0,9,0,7,2,0,4,0,8,1,5,0,2,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
thomas-chazhikadan,Thomas Chazhikadan,KC(M),Kerala,Kottayam,Male,71 years,Graduate,80,76,211,211,3,https://prsindia.org/mptrack/17-lok-sabha/thomas-chazhikadan,16,12,18,14,7,9,7,7,7,3,4,10,5,5,5,1,3,3,3,1,0,5,6,6,1,2,3,5,1,1,4,3,4,2,6,3,1,0,0,3,0,2,2,4,1,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
m-k-raghavan,M. K. Raghavan,INC,Kerala,Kozhikode,Male,71 years,Graduate,81,54,270,270,11,https://prsindia.org/mptrack/17-lok-sabha/m-k-raghavan,25,12,16,19,11,19,4,4,14,6,8,8,1,14,4,6,5,5,8,0,5,4,9,0,4,1,3,3,4,0,3,9,3,2,1,1,8,1,2,0,1,0,3,6,0,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
mp-abdussamad-samadani,M.P. Abdussamad Samadani,IUML,Kerala,Malappuram,Male,65 years,Post Graduate,96,32,117,117,0,https://prsindia.org/mptrack/17-lok-sabha/mp-abdussamad-samadani,12,5,17,1,12,5,3,4,5,0,3,0,1,9,7,1,4,2,1,0,1,1,1,2,2,0,1,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pk-kunhalikutty,P.K. Kunhalikutty,IUML,Kerala,Malappuram,Male,72 years,Diploma Course,72,25,58,58,0,https://prsindia.org/mptrack/17-lok-sabha/pk-kunhalikutty,5,1,5,7,0,3,0,0,0,2,3,0,2,6,2,2,1,1,1,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
suresh-kodikunnil,Suresh Kodikunnil,INC,Kerala,Mavelikkara,Male,61 years,Professional Graduate,86,124,304,304,8,https://prsindia.org/mptrack/17-lok-sabha/suresh-kodikunnil,24,10,29,17,10,16,9,7,17,0,22,7,13,11,4,8,9,4,2,2,2,4,5,4,4,1,5,1,5,4,1,11,2,4,2,4,5,0,4,1,1,0,2,1,3,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
vk-sreekandan,V.K. Sreekandan,INC,Kerala,Palakkad,Male,53 years,Graduate,93,63,294,294,9,https://prsindia.org/mptrack/17-lok-sabha/vk-sreekandan,31,10,22,26,8,12,3,7,12,4,22,4,6,12,7,9,6,6,11,1,3,5,4,2,5,1,3,7,6,2,0,4,1,3,6,1,3,2,6,0,1,1,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
anto-antony,Anto Antony,INC,Kerala,Pathanamthitta,Male,66 years,Graduate,82,61,386,386,2,https://prsindia.org/mptrack/17-lok-sabha/anto-antony,50,19,13,37,8,9,9,11,11,8,25,16,16,23,6,11,3,6,10,2,3,14,0,5,8,0,0,0,5,5,1,10,4,1,6,2,2,1,5,0,2,0,4,1,7,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
e-t-mohammed-basheer,E. T. Mohammed Basheer,IUML,Kerala,Ponnani,Male,77 years,Inter/ Higher Secondary,94,102,224,224,5,https://prsindia.org/mptrack/17-lok-sabha/e-t-mohammed-basheer,16,12,5,12,13,8,4,7,3,3,6,10,5,14,2,6,4,5,3,0,9,1,4,2,4,2,4,2,0,3,4,7,1,3,0,2,2,1,8,3,2,1,6,4,6,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
shashi-tharoor,Shashi Tharoor,INC,Kerala,Thiruvananthapuram,Male,67 years,Doctorate,93,101,275,275,13,https://prsindia.org/mptrack/17-lok-sabha/shashi-tharoor,16,11,9,8,9,12,6,14,8,10,13,5,9,2,7,6,5,5,6,4,3,6,11,7,5,4,6,1,5,4,2,4,6,6,4,1,3,0,3,0,5,1,3,3,3,4,1,1,2,3,0,1,2,0,0,0,0,0,0,0,0,0,0
tn-prathapan,T.N. Prathapan,INC,Kerala,Thrissur,Male,63 years,Information Not Available,82,67,312,312,1,https://prsindia.org/mptrack/17-lok-sabha/tn-prathapan,27,13,10,17,17,11,7,11,11,7,13,11,6,8,3,3,7,3,5,3,0,6,10,6,9,2,9,3,4,3,0,11,9,4,1,6,5,2,6,0,2,0,14,0,2,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
k-muraleedharan,K. Muraleedharan,INC,Kerala,Vadakara,Male,66 years,Professional Graduate,90,61,266,266,0,https://prsindia.org/mptrack/17-lok-sabha/k-muraleedharan,19,11,19,21,8,12,4,7,8,7,16,2,4,12,9,5,7,2,10,4,2,9,3,8,5,2,2,2,1,0,2,4,1,4,1,0,3,2,3,1,5,2,3,0,2,1,1,1,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0
rahul-gandhi,Rahul Gandhi,INC,Kerala,Wayanad,Male,53 years,Post Graduate,51,8,99,99,0,https://prsindia.org/mptrack/17-lok-sabha/rahul-gandhi,8,4,3,3,1,0,0,6,3,1,3,5,5,2,5,5,0,0,1,3,0,0,2,4,0,12,0,1,2,0,0,0,3,0,1,5,1,0,2,1,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pp-mohammed-faizal,P.P. Mohammed Faizal,NCP,Lakshadweep,Lakshadweep,Male,48 years,Professional Post Graduate,79,36,245,245,0,https://prsindia.org/mptrack/17-lok-sabha/pp-mohammed-faizal,32,8,14,9,16,6,10,6,4,4,10,3,8,7,6,5,4,6,4,5,1,3,6,5,6,0,1,1,4,2,0,7,5,2,1,6,3,0,4,0,1,0,8,6,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
dhal-singh-bisen,Dhal Singh Bisen,BJP,Madhya Pradesh,Balaghat,Male,71 years,Diploma Course,99,73,189,189,0,https://prsindia.org/mptrack/17-lok-sabha/dhal-singh-bisen,17,8,12,3,13,9,7,10,4,6,6,2,1,2,7,2,8,5,4,1,5,2,3,1,1,2,1,2,3,3,1,3,2,5,1,7,2,1,2,0,0,0,4,0,0,0,1,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
durga-das-dd-uikey,Durga Das (D.D.) Uikey,BJP,Madhya Pradesh,Betul,Male,60 years,Post Graduate,96,20,57,57,0,https://prsindia.org/mptrack/17-lok-sabha/durga-das-dd-uikey,3,0,1,0,1,3,1,3,3,1,0,2,2,1,0,0,4,1,1,1,0,2,3,1,0,3,2,1,3,2,0,0,1,0,0,2,1,1,0,1,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
sandhya-ray,Sandhya Ray,BJP,Madhya Pradesh,Bhind,Female,50 years,Information Not Available,94,24,139,139,0,https://prsindia.org/mptrack/17-lok-sabha/sandhya-ray,4,5,7,3,5,7,5,6,5,7,2,5,4,3,2,3,2,5,1,0,0,2,1,2,4,3,4,3,2,1,7,0,6,3,1,2,1,1,0,0,3,0,1,0,1,0,4,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0
sadhvi-pragya-singh-thakur,Sadhvi Pragya Singh Thakur,BJP,Madhya Pradesh,Bhopal,Female,54 years,Information Not Available,66,19,36,36,0,https://prsindia.org/mptrack/17-lok-sabha/sadhvi-pragya-singh-thakur,1,0,0,1,1,0,0,1,0,3,1,1,2,2,1,2,3,1,0,1,1,0,2,0,1,1,1,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nakul-nath,Nakul Nath,INC,Madhya Pradesh,Chhindwara,Male,49 years,Graduate,70,1,30,30,0,https://prsindia.org/mptrack/17-lok-sabha/nakul-nath,1,3,0,1,2,0,2,2,1,1,0,2,0,0,2,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prahlad-singh-patel,Prahlad Singh Patel,BJP,Madhya Pradesh,Damoh,Male,63 years,Post Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/prahlad-singh-patel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mahendra-singh-solanky,Mahendra Singh Solanky,BJP,Madhya Pradesh,Dewas,Male,39 years,Professional Graduate,97,8,98,98,0,https://prsindia.org/mptrack/17-lok-sabha/mahendra-singh-solanky,7,5,3,2,8,1,2,8,4,2,0,1,5,3,1,1,0,3,2,6,3,1,2,1,3,1,5,0,0,3,2,0,3,0,0,1,1,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chhatar-singh-darbar,Chhatar Singh Darbar,BJP,Madhya Pradesh,Dhar,Male,70 years,Professional Graduate,81,13,30,30,0,https://prsindia.org/mptrack/17-lok-sabha/chhatar-singh-darbar,3,3,2,0,0,1,1,4,1,0,2,1,1,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krishna-pal-singh,Krishna Pal Singh,BJP,Madhya Pradesh,Guna,Male,48 years,Doctorate,92,53,364,364,5,https://prsindia.org/mptrack/17-lok-sabha/krishna-pal-singh,17,20,16,5,15,15,13,17,7,8,5,14,9,6,4,4,10,7,4,10,10,7,10,8,8,13,9,7,6,3,12,3,6,3,3,8,2,5,5,5,7,1,1,1,4,2,2,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0
vivek-narayan-shejwalkar,Vivek Narayan Shejwalkar,BJP,Madhya Pradesh,Gwalior,Male,76 years,Information Not Available,97,48,183,183,0,https://prsindia.org/mptrack/17-lok-sabha/vivek-narayan-shejwalkar,16,15,9,4,7,9,6,12,5,7,3,4,2,2,5,5,7,5,0,2,2,1,2,1,5,7,3,2,2,3,3,2,3,0,3,7,0,1,0,4,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
uday-pratap-singh,Uday Pratap Singh,BJP,Madhya Pradesh,Hoshangabad,Male,59 years,Graduate,89,96,186,186,0,https://prsindia.org/mptrack/17-lok-sabha/uday-pratap-singh,26,15,14,6,2,14,7,2,15,1,1,1,4,7,3,4,5,3,5,0,4,0,7,3,7,0,2,2,2,3,1,0,2,5,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shankar-lalwani,Shankar Lalwani,BJP,Madhya Pradesh,Indore,Male,62 years,Information Not Available,96,41,213,213,0,https://prsindia.org/mptrack/17-lok-sabha/shankar-lalwani,12,14,13,11,9,11,6,7,7,5,4,3,1,8,1,5,13,11,8,3,4,3,1,2,2,5,1,7,3,5,1,0,1,2,4,1,2,3,1,3,0,0,0,2,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
rakesh-singh,Rakesh Singh,BJP,Madhya Pradesh,Jabalpur,Male,61 years,Graduate,84,24,146,146,4,https://prsindia.org/mptrack/17-lok-sabha/rakesh-singh,20,5,22,10,7,10,2,0,4,2,7,4,3,2,1,4,0,3,5,0,2,2,0,1,6,0,1,1,6,1,1,4,0,2,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vishnu-dutt-sharma,Vishnu Dutt Sharma,BJP,Madhya Pradesh,Khajuraho,Male,53 years,Information Not Available,60,16,217,217,0,https://prsindia.org/mptrack/17-lok-sabha/vishnu-dutt-sharma,21,12,3,8,10,7,7,7,6,7,2,7,4,2,6,6,7,7,3,0,2,1,4,5,11,2,5,6,7,7,4,0,8,1,1,1,1,1,1,4,2,4,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gyaneshwar-patil,Gyaneshwar Patil,BJP,Madhya Pradesh,Khandwa,Male,55 years,Information Not Available,83,2,122,122,0,https://prsindia.org/mptrack/17-lok-sabha/gyaneshwar-patil,5,5,3,1,6,5,5,4,2,4,0,7,2,1,1,1,7,4,1,4,2,5,1,3,2,0,4,1,0,2,5,1,4,0,2,2,2,0,1,1,1,0,2,0,2,1,4,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0
nandkumar-singh-chouhan-nandu-bhaiya,Nandkumar Singh Chouhan (Nandu Bhaiya),BJP,Madhya Pradesh,Khandwa,Male,71 years,Graduate,67,7,7,7,0,https://prsindia.org/mptrack/17-lok-sabha/nandkumar-singh-chouhan-nandu-bhaiya,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gajendra-umrao-singh-patel,Gajendra Umrao Singh Patel,BJP,Madhya Pradesh,Khargone,Male,48 years,Professional Graduate,85,28,171,171,0,https://prsindia.org/mptrack/17-lok-sabha/gajendra-umrao-singh-patel,8,4,6,1,8,6,6,6,2,4,0,2,3,4,3,3,9,4,2,4,2,2,5,4,2,6,1,1,5,4,5,2,5,0,3,13,2,2,2,0,0,1,0,0,3,0,2,2,0,0,7,4,0,1,0,0,0,0,0,0,0,0,0
faggan-singh-kulaste,Faggan Singh Kulaste,BJP,Madhya Pradesh,Mandla,Male,64 years,Post Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/faggan-singh-kulaste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sudhir-gupta,Sudhir Gupta,BJP,Madhya Pradesh,Mandsour,Male,64 years,Post Graduate,88,60,635,635,6,https://prsindia.org/mptrack/17-lok-sabha/sudhir-gupta,48,45,28,34,22,29,17,5,26,10,18,22,19,26,8,18,9,12,5,8,7,12,15,10,16,7,7,14,9,6,4,13,6,8,10,2,8,7,3,3,9,13,0,3,2,10,3,3,4,1,2,3,4,0,1,0,0,0,1,0,0,0,0
narendra-singh-tomar,Narendra Singh Tomar,BJP,Madhya Pradesh,Morena,Male,66 years,Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/narendra-singh-tomar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rodmal-nagar,Rodmal Nagar,BJP,Madhya Pradesh,Rajgarh,Male,63 years,Graduate,89,29,209,209,0,https://prsindia.org/mptrack/17-lok-sabha/rodmal-nagar,12,15,11,10,7,6,4,4,6,6,3,2,4,3,0,5,5,7,7,2,4,3,4,2,4,4,1,2,3,5,4,4,2,8,7,2,6,4,3,4,0,1,1,0,2,2,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
guman-singh-damor,Guman Singh Damor,BJP,Madhya Pradesh,Ratlam,Male,66 years,Information Not Available,88,29,117,117,0,https://prsindia.org/mptrack/17-lok-sabha/guman-singh-damor,10,11,7,1,4,1,1,2,5,2,1,0,2,5,3,2,8,2,3,2,2,5,3,2,1,1,1,2,4,1,1,1,2,0,4,7,0,1,1,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
janardan-mishra,Janardan Mishra,BJP,Madhya Pradesh,Rewa,Male,67 years,Professional Graduate,95,39,108,108,0,https://prsindia.org/mptrack/17-lok-sabha/janardan-mishra,10,4,1,2,2,5,3,4,3,5,1,2,1,4,3,3,3,3,3,1,1,0,2,2,4,0,1,1,2,1,1,3,0,5,2,2,4,0,3,1,2,0,2,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rajbahadur-singh,Rajbahadur Singh,BJP,Madhya Pradesh,Sagar,Male,56 years,Information Not Available,87,5,67,67,0,https://prsindia.org/mptrack/17-lok-sabha/rajbahadur-singh,6,1,3,0,6,1,2,4,2,2,0,0,1,2,1,0,1,1,0,2,1,0,2,2,5,3,4,0,0,2,3,1,2,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ganesh-singh,Ganesh Singh,BJP,Madhya Pradesh,Satna,Male,61 years,Post Graduate,86,90,186,186,5,https://prsindia.org/mptrack/17-lok-sabha/ganesh-singh,13,5,9,6,4,9,5,3,10,6,4,5,4,6,5,4,15,5,0,2,1,2,5,3,1,2,5,1,5,3,2,0,8,3,1,4,1,2,4,1,3,1,0,1,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
himadri-singh,Himadri Singh,BJP,Madhya Pradesh,Shahdol,Female,35 years,Information Not Available,85,6,38,38,0,https://prsindia.org/mptrack/17-lok-sabha/himadri-singh,2,1,3,0,2,2,0,1,1,0,0,0,1,2,0,0,1,1,1,0,0,0,3,0,0,0,0,1,1,0,0,0,2,0,3,5,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riti-pathak,Riti Pathak,BJP,Madhya Pradesh,Sidhi,Female,46 years,Post Graduate,97,60,278,278,4,https://prsindia.org/mptrack/17-lok-sabha/riti-pathak,19,11,16,2,3,9,15,12,9,10,3,9,11,6,5,11,14,6,5,4,3,2,6,7,10,5,8,9,1,5,0,1,1,2,4,5,4,3,1,6,1,1,1,0,0,1,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
virendra-kumar,Virendra Kumar,BJP,Madhya Pradesh,Tikamgarh,Male,69 years,Doctorate,96,41,81,81,0,https://prsindia.org/mptrack/17-lok-sabha/virendra-kumar,5,4,4,0,2,2,3,7,2,4,4,1,7,0,3,1,1,0,1,5,0,1,2,0,0,3,0,0,2,2,1,2,1,1,3,0,1,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anil-firojiya,Anil Firojiya,BJP,Madhya Pradesh,Ujjain,Male,52 years,Graduate,79,27,274,274,0,https://prsindia.org/mptrack/17-lok-sabha/anil-firojiya,19,8,12,5,6,6,9,6,14,4,3,3,8,6,7,5,11,3,9,8,9,9,2,4,4,5,8,6,4,0,5,2,8,4,5,3,2,5,1,3,7,1,5,3,1,1,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramakant-bhargava,Ramakant Bhargava,BJP,Madhya Pradesh,Vidisha,Male,70 years,Information Not Available,71,10,7,7,0,https://prsindia.org/mptrack/17-lok-sabha/ramakant-bhargava,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
sujay-radhakrishna-vikhepatil,Sujay Radhakrishna Vikhepatil,BJP,Maharashtra,Ahmednagar,Male,42 years,Professional Graduate,76,105,508,508,6,https://prsindia.org/mptrack/17-lok-sabha/sujay-radhakrishna-vikhepatil,23,25,29,13,10,14,19,18,12,11,8,13,15,10,12,10,8,16,10,13,9,11,13,14,11,16,11,7,14,11,11,4,7,5,5,11,5,5,6,8,4,3,3,1,7,3,3,2,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0
sanjay-shamrao-dhotre,Sanjay Shamrao Dhotre,BJP,Maharashtra,Akola,Male,64 years,Professional Graduate,0,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/sanjay-shamrao-dhotre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navnit-ravi-rana,Navnit Ravi Rana,I,Maharashtra,Amravati,Female,38 years,Graduate,79,98,237,237,0,https://prsindia.org/mptrack/17-lok-sabha/navnit-ravi-rana,20,8,13,8,10,8,11,13,11,4,4,6,9,4,7,9,8,0,5,5,5,0,8,2,6,4,9,5,4,3,3,0,2,0,4,1,0,5,3,0,2,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
imtiaz-jaleel-syed,Imtiaz Jaleel Syed,AIMIM,Maharashtra,Aurangabad,Male,55 years,Professional Graduate,77,81,274,274,1,https://prsindia.org/mptrack/17-lok-sabha/imtiaz-jaleel-syed,34,8,7,16,10,7,10,9,10,6,13,11,13,7,6,4,2,3,6,5,2,7,3,0,5,1,12,1,6,2,0,8,0,4,4,5,8,1,2,0,2,0,8,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
supriya-sule,Supriya Sule,NCP,Maharashtra,Baramati,Female,54 years,Graduate,93,250,629,629,16,https://prsindia.org/mptrack/17-lok-sabha/supriya-sule,66,38,32,28,27,9,10,14,17,28,14,15,16,10,7,15,21,11,11,18,6,15,13,11,6,14,9,12,5,13,5,5,16,14,6,0,10,19,1,8,2,8,3,1,1,0,1,3,4,1,1,1,4,0,3,1,0,0,0,0,0,0,0
pritam-gopinath-munde,Pritam Gopinath Munde,BJP,Maharashtra,Beed,Female,40 years,Professional Graduate,84,24,501,501,0,https://prsindia.org/mptrack/17-lok-sabha/pritam-gopinath-munde,36,27,34,29,17,17,7,21,20,8,10,16,18,1,15,9,5,6,15,18,15,5,12,10,3,10,4,2,6,10,11,3,4,11,11,2,0,4,3,7,3,2,0,9,5,3,2,3,5,3,1,0,0,0,0,1,2,0,0,0,0,0,0
sunil-baburao-mendhe,Sunil Baburao Mendhe,BJP,Maharashtra,Bhandara-Gondiya,Male,55 years,Information Not Available,90,25,249,249,0,https://prsindia.org/mptrack/17-lok-sabha/sunil-baburao-mendhe,17,7,11,5,7,6,9,9,9,11,4,6,11,6,8,4,12,9,3,7,8,0,3,10,5,5,0,6,1,1,5,6,7,1,4,4,0,1,2,7,2,1,3,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
kapil-moreshwar-patil,Kapil Moreshwar Patil,BJP,Maharashtra,Bhiwandi,Male,62 years,Graduate,96,27,118,118,0,https://prsindia.org/mptrack/17-lok-sabha/kapil-moreshwar-patil,8,6,3,1,0,4,3,1,3,1,4,2,3,0,5,2,8,2,2,2,1,1,1,2,0,6,0,1,3,0,3,2,2,10,4,1,2,1,5,2,1,1,0,1,0,1,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
jadhav-prataprao-ganpatrao,Jadhav Prataprao Ganpatrao,SS,Maharashtra,Buldhana,Male,63 years,Under Graduate,71,48,473,473,0,https://prsindia.org/mptrack/17-lok-sabha/jadhav-prataprao-ganpatrao,41,29,26,19,16,18,15,3,15,11,11,17,21,19,7,10,6,3,5,7,4,8,12,10,11,7,7,8,11,4,4,7,3,5,8,1,14,2,1,3,5,8,1,2,1,12,3,2,3,0,2,2,1,0,1,0,0,0,1,0,0,0,0
