mp_id,name,party,state,constituency,gender,age,education,attendance_pct,debates_count,total_questions_prs,total_questions_parsed,pvt_member_bills_count,profile_url,Health and Family Welfare,Agriculture and Farmers Welfare,Railways,Finance,Education,"Environment, Forest and Climate Change",Jal Shakti,Women and Child Development,Road Transport and Highways,Housing and Urban Affairs,Home Affairs,Commerce and Industry,Labour and Employment,Civil Aviation,Rural Development,"Consumer Affairs, Food and Public Distribution",AYUSH,Communications,Petroleum and Natural Gas,Textiles,Chemicals and Fertilizers,Law and Justice,"Fisheries, Animal Husbandry and Dairying",Tourism,Electronics and Information Technology,"Micro, Small and Medium Enterprises",Social Justice and Empowerment,Culture,Defence,New and Renewable Energy,Skill Development and Entrepreneurship,External Affairs,Youth Affairs and Sports,Human Resource Development,Power,Tribal Affairs,Information and Broadcasting,Coal,Prime Minister,Food Processing Industries,Corporate Affairs,Science and Technology,Minority Affairs,"Ports, Shipping and Waterways",Heavy Industries and Public Enterprises,Earth Sciences,Panchayati Raj,Mines,Steel,Statistics and Programme Implementation,Cooperation,Planning,Shipping,Development of North Eastern Region,Ayush,Consumer Affairs,Micro,Parliamentary Affairs,Heavy Industries,Statiscs and Programme Implementation,Atomic Energy,"Personnel, Public Grievances and Pensions",Space
sanjay-seth,Sanjay Seth,BJP,Jharkhand,Ranchi,Male,64 years,Information not available,87,77,211,211,0,https://prsindia.org/mptrack/17-lok-sabha/sanjay-seth,12,9,4,5,11,7,4,11,3,6,3,2,4,6,7,5,5,8,3,1,5,7,4,7,6,3,2,4,1,3,4,4,6,4,3,5,1,5,1,1,1,2,2,1,2,2,3,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
geeta-kora,Geeta Kora,INC,Jharkhand,Singhbhum,Female,40 years,Information Not Available,69,14,279,279,0,https://prsindia.org/mptrack/17-lok-sabha/geeta-kora,27,10,12,3,6,9,11,17,9,10,5,6,13,5,9,11,13,8,6,1,5,0,2,7,9,4,7,4,0,8,4,0,2,1,4,4,2,4,0,10,1,0,0,0,0,1,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
pc-gaddigoudar,P.C. Gaddigoudar,BJP,Karnataka,Bagalkot,Male,72 years,Professional Graduate,91,5,76,76,0,https://prsindia.org/mptrack/17-lok-sabha/pc-gaddigoudar,5,5,5,7,1,3,2,3,4,4,6,5,2,1,1,3,0,1,0,2,0,0,0,1,0,1,0,1,2,1,0,1,2,1,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p-c-mohan,P. C. Mohan,BJP,Karnataka,Bangalore Central,Male,60 years,Inter/ Higher Secondary,82,9,189,189,0,https://prsindia.org/mptrack/17-lok-sabha/p-c-mohan,17,4,8,9,8,15,4,4,8,11,10,7,1,4,6,5,2,5,4,2,5,0,2,3,4,1,3,1,3,3,0,1,2,2,2,0,2,1,2,1,1,0,0,2,3,0,1,2,1,0,1,3,1,0,1,0,1,0,0,0,0,0,0
dv-sadananda-gowda,D.V. Sadananda Gowda,BJP,Karnataka,Bangalore North,Male,70 years,Professional Graduate,63,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/dv-sadananda-gowda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dk-suresh,D.K. Suresh,INC,Karnataka,Bangalore Rural,Male,57 years,Inter/ Higher Secondary,69,21,395,395,0,https://prsindia.org/mptrack/17-lok-sabha/dk-suresh,29,27,17,19,17,12,17,14,4,15,10,10,12,7,5,15,10,7,6,3,13,9,6,7,8,5,3,8,7,6,0,2,5,5,8,1,4,3,5,1,1,4,3,0,2,5,5,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
l-s-tejasvi-surya,L. S. Tejasvi Surya,BJP,Karnataka,Bangalore South,Male,33 years,Professional Graduate,77,36,382,382,0,https://prsindia.org/mptrack/17-lok-sabha/l-s-tejasvi-surya,27,5,20,24,17,8,6,13,19,19,16,10,8,10,1,10,6,7,5,3,14,11,2,8,9,8,6,6,8,1,9,4,17,5,2,5,7,1,5,1,3,0,0,2,5,1,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
mangal-suresh-angadi,Mangal Suresh Angadi,BJP,Karnataka,Belgaum,Female,60 years,Graduate,66,1,29,29,0,https://prsindia.org/mptrack/17-lok-sabha/mangal-suresh-angadi,2,1,9,1,2,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suresh-channabasappa-angadi,Suresh Channabasappa Angadi,BJP,Karnataka,Belgaum,Male,68 years,Professional Graduate,N/A,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/suresh-channabasappa-angadi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y-devendrappa,Y. Devendrappa,BJP,Karnataka,Bellary,Male,72 years,Under Matric,81,10,120,120,0,https://prsindia.org/mptrack/17-lok-sabha/y-devendrappa,10,4,5,1,1,1,3,9,4,6,1,2,4,1,7,2,6,4,2,2,3,1,2,3,1,2,2,2,2,3,0,2,2,1,1,4,3,2,3,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bhagwanth-khuba,Bhagwanth Khuba,BJP,Karnataka,Bidar,Male,56 years,Professional Graduate,81,3,114,114,0,https://prsindia.org/mptrack/17-lok-sabha/bhagwanth-khuba,7,6,7,5,2,3,3,4,3,1,5,3,3,3,1,2,3,2,3,1,6,0,1,4,1,3,1,1,3,3,2,2,3,2,4,0,2,0,2,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ramesh-chandappa-jigajinagi,Ramesh Chandappa Jigajinagi,BJP,Karnataka,Bijapur,Male,71 years,Post Graduate,74,0,0,0,0,https://prsindia.org/mptrack/17-lok-sabha/ramesh-chandappa-jigajinagi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v-srinivas-prasad,V. Srinivas Prasad,BJP,Karnataka,Chamrajanagar,Male,76 years,Post Graduate,33,0,2,2,0,https://prsindia.org/mptrack/17-lok-sabha/v-srinivas-prasad,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
